,S,Monte Carlo,Replicate price,Replicate %diff,JFE price,JFE %diff
0,950,57.1354,57.8674,1.2811,57.6931,0.9761
1,960,61.5947,62.3967,1.3021,62.2185,1.0128
2,970,66.2564,67.1266,1.3133,66.9456,1.0402
3,980,71.1264,72.0555,1.3063,71.8731,1.0498
4,990,76.1974,77.1817,1.2918,76.999,1.0521
5,1000,81.4727,82.5029,1.2645,82.3211,1.0413
6,1010,86.9598,88.0163,1.2149,87.8366,1.0083
7,1020,92.6641,93.7188,1.1382,93.5424,0.9478
8,1030,98.5726,99.6069,1.0493,99.4349,0.8748
9,1040,104.6802,105.677,0.9522,105.5104,0.7931
10,1050,110.9633,111.9249,0.8666,111.7646,0.7221
