,V,FFT,Replicate price,JFE price,JFE %diff
0,0.1,36.4488,36.4854,36.4854,0.1004
1,0.2,51.4125,51.4255,51.4255,0.0253
2,0.30000000000000004,62.8997,62.9068,62.9068,0.0113
3,0.4,72.5792,72.5838,72.5838,0.0063
4,0.5,81.1007,81.104,81.104,0.0041
5,0.6,88.7981,88.8006,88.8006,0.0028
6,0.7000000000000001,95.8702,95.8721,95.8721,0.0021
7,0.8,102.4465,102.4481,102.4481,0.0016
8,0.9,108.6171,108.6184,108.6184,0.0013
9,1.0,114.4477,114.4488,114.4488,0.001
10,1.1,119.9878,119.9888,119.9888,0.0008
