,V,FFT %delta,Replicate %delta,Delta %diff,FFT %gamma,Replicate %gamma,Gamma %diff,FFT %vega,Replicate %vega,Vega %diff
0,0.1,51.9512,51.9534,0.0042,0.4241,0.4434,4.5424,180.6213,181.1785,0.3085
1,0.2,52.6614,52.6621,0.0014,0.2944,0.3118,5.9086,127.8147,127.901,0.0675
2,0.30000000000000004,53.2189,53.2193,0.0008,0.2542,0.2538,-0.1765,104.3381,104.3475,0.0091
3,0.4,53.6929,53.6932,0.0005,0.2245,0.2193,-2.3372,90.3166,90.2924,-0.0268
4,0.5,54.1121,54.1123,0.0004,0.2012,0.1957,-2.7103,80.707,80.6884,-0.023
5,0.6,54.492,54.4921,0.0002,0.1831,0.1784,-2.5622,73.612,73.59,-0.0299
6,0.7000000000000001,54.8416,54.8418,0.0003,0.1686,0.1649,-2.1725,68.087,68.0663,-0.0304
7,0.8,55.1673,55.1674,0.0002,0.1568,0.1541,-1.7362,63.9556,63.6085,-0.5427
8,0.9,55.4732,55.4733,0.0002,0.1468,0.1451,-1.1713,60.0878,59.9118,-0.2929
9,1.0,55.7625,55.7626,0.0002,0.1387,0.1375,-0.8895,56.8783,56.781,-0.171
10,1.1,56.0376,56.0377,0.0001,0.1318,0.1309,-0.6735,54.14,54.0845,-0.1024
